berry,main_tree_type,forest_development_class,x,y,year,week_number,Latitude,Longitude,Coordinates
lingonberry,spruce,plantation,650000,6920000,2018,35,62.38108416137825,29.9008321604022,"62.381084161378254,29.900832160402196"
lingonberry,spruce,seedling,340000,6800000,2018,32,61.30122674546548,24.01268664399914,"61.301226745465485,24.012686643999135"
lingonberry,pine,plantation,390000,6740000,2018,35,60.78021722649141,24.97991749084244,"60.78021722649141,24.979917490842436"
lingonberry,pine,old,490000,7150000,2018,35,64.47533347586672,26.79201116459836,"64.47533347586672,26.79201116459836"
lingonberry,pine,plantation,290000,6780000,2018,37,61.0983792157712,23.10363083806073,"61.0983792157712,23.10363083806073"
lingonberry,pine,old,550000,6730000,2018,36,60.70250244940365,27.91592347476194,"60.702502449403646,27.915923474761936"
lingonberry,spruce,old,430000,6820000,2018,35,61.50729036265463,25.68467073633329,"61.50729036265463,25.684670736333292"
lingonberry,pine,plantation,390000,6730000,2018,35,60.69049026191773,24.98554835955919,"60.69049026191773,24.98554835955919"
lingonberry,spruce,old,430000,7030000,2018,37,63.39172108625436,25.59915009534945,"63.391721086254364,25.59915009534945"
lingonberry,pine,seedling,580000,7260000,2018,36,65.4526573933773,28.72590104157074,"65.4526573933773,28.725901041570737"
lingonberry,pine,old,640000,7100000,2018,36,63.99857591347621,29.86286108203423,"63.99857591347621,29.86286108203423"
lingonberry,pine,plantation,410000,7060000,2018,37,63.65634209970246,25.18207396194349,"63.656342099702464,25.182073961943487"
lingonberry,pine,old,570000,7320000,2018,33,65.99308654415161,28.54201365048702,"65.99308654415161,28.542013650487018"
lingonberry,pine,plantation,580000,7720000,2018,39,69.57658065259366,29.05453209797216,"69.57658065259366,29.05453209797216"
lingonberry,spruce,plantation,290000,6790000,2018,34,61.18794819224924,23.09256168218762,"61.18794819224924,23.09256168218762"
lingonberry,pine,plantation,480000,7150000,2018,38,64.47489255508702,26.58402730238922,"64.47489255508702,26.58402730238922"
lingonberry,pine,seedling,370000,6740000,2018,39,60.77419171702346,24.61297535506698,"60.77419171702346,24.612975355066975"
lingonberry,pine,clearing,660000,6970000,2018,36,62.82505113472511,30.14091537248861,"62.825051134725115,30.140915372488614"
lingonberry,pine,old,540000,6770000,2018,36,61.06272178178999,27.74103773545875,"61.06272178178999,27.74103773545875"
lingonberry,pine,plantation,570000,7410000,2018,31,66.80018695321921,28.59249727980589,"66.80018695321921,28.59249727980589"
lingonberry,pine,plantation,290000,6930000,2018,35,62.44165992217434,22.92965386387463,"62.44165992217434,22.92965386387463"
cloudberry,pine,clearing,410000,7040000,2018,27,63.47694058879721,25.19347674995947,"63.476940588797206,25.193476749959466"
cloudberry,birch,clearing,420000,7300000,2018,29,65.81137369720916,25.25009717192367,"65.81137369720916,25.25009717192367"
cloudberry,pine,old,360000,6670000,2018,29,60.14291883547655,24.47874453524799,"60.14291883547655,24.47874453524799"
cloudberry,open,clearing,550000,7460000,2018,29,67.25254604020625,28.15881199904707,"67.25254604020625,28.158811999047067"
cloudberry,open,clearing,550000,7450000,2018,29,67.16286223705485,28.15450715123959,"67.16286223705485,28.15450715123959"
cloudberry,pine,clearing,510000,7330000,2018,28,66.09036425256387,27.22111253667612,"66.09036425256387,27.221112536676117"
cloudberry,pine,clearing,510000,7330000,2018,28,66.09036425256387,27.22111253667612,"66.09036425256387,27.221112536676117"
cloudberry,pine,plantation,560000,7270000,2018,30,65.54665834435944,28.29903317642823,"65.54665834435944,28.29903317642823"
cloudberry,pine,seedling,610000,7120000,2018,30,64.18870798491892,29.26457758809651,"64.18870798491892,29.26457758809651"
cloudberry,pine,clearing,360000,7050000,2018,27,63.55041203610168,24.18221667408035,"63.550412036101676,24.182216674080355"
cloudberry,pine,seedling,430000,6920000,2018,29,62.40471063078296,25.6454699913333,"62.40471063078296,25.645469991333304"
cloudberry,pine,old,400000,7320000,2018,21,65.98505421433683,24.79763089779469,"65.98505421433683,24.797630897794686"
cloudberry,pine,clearing,440000,7370000,2018,30,66.44358019442852,25.65452968275375,"66.44358019442852,25.654529682753747"
cloudberry,pine,clearing,480000,7480000,2018,31,67.43545479977395,26.53293875400358,"67.43545479977395,26.53293875400358"
cloudberry,spruce,plantation,480000,7480000,2018,31,67.43545479977395,26.53293875400358,"67.43545479977395,26.53293875400358"
cloudberry,pine,clearing,600000,7360000,2018,28,66.34364161836845,29.233771785672,"66.34364161836845,29.233771785672005"
cloudberry,swamp,clearing,570000,7720000,2018,30,69.57940544236097,28.79788518449983,"69.57940544236097,28.79788518449983"
cloudberry,swamp,clearing,440000,7040000,2018,29,63.48327023646621,25.7954514894865,"63.48327023646621,25.7954514894865"
cloudberry,pine,clearing,570000,7410000,2018,31,66.80018695321921,28.59249727980589,"66.80018695321921,28.59249727980589"
cloudberry,pine,clearing,620000,7270000,2018,29,65.53000136291303,29.59684628612045,"65.53000136291303,29.59684628612045"
cloudberry,pine,clearing,590000,7240000,2018,29,65.2707010567827,28.92830208682781,"65.2707010567827,28.928302086827806"
cloudberry,pine,plantation,600000,7250000,2018,29,65.35746788507024,29.14968529873268,"65.35746788507024,29.149685298732678"
cloudberry,spruce,clearing,580000,7230000,2018,29,65.18360599021689,28.70837067647486,"65.18360599021689,28.70837067647486"
cloudberry,pine,plantation,550000,7120000,2018,30,64.20264217551603,28.02973864281088,"64.20264217551603,28.029738642810884"
cloudberry,swamp,clearing,640000,7080000,2018,28,63.81931583038386,29.84463725202124,"63.819315830383864,29.84463725202124"
cloudberry,swamp,clearing,570000,7720000,2018,30,69.57940544236097,28.79788518449983,"69.57940544236097,28.79788518449983"
cloudberry,pine,clearing,580000,7260000,2018,30,65.4526573933773,28.72590104157074,"65.4526573933773,28.725901041570737"
cloudberry,open,clearing,570000,7270000,2018,30,65.54465258036804,28.51545297198923,"65.54465258036804,28.51545297198923"
cloudberry,spruce,clearing,550000,7270000,2018,31,65.5483556910314,28.08257947419481,"65.5483556910314,28.082579474194805"
cloudberry,pine,plantation,380000,7450000,2018,30,67.14305089644043,24.23083163842139,"67.14305089644043,24.23083163842139"
cloudberry,pine,plantation,560000,7270000,2018,29,65.54665834435944,28.29903317642823,"65.54665834435944,28.29903317642823"
cloudberry,pine,seedling,570000,7340000,2018,29,66.17245115382819,28.55292728037216,"66.17245115382819,28.552927280372156"
