year,week_number,rovaniemi_temperature,sodankylä_temperature,ivalo_temperature,oulu_temperature,kajaani_temperature,kuopio_temperature,jyväskylä_temperature,tampere_temperature,helsinki_temperature,rov_lat,rov_lon,sod_lat,sod_lon,iva_lat,iva_lon,oul_lat,oul_lon,kaj_lat,kaj_lon,kuo_lat,kuo_lon,jyv_lat,jyv_lon,tam_lat,tam_lon,hel_lat,hel_lon
2018,41,"5,471428571","4,071428571","3,442857143","9,028571429","7,928571429","9,871428571","8,9","9,614285714","10,27142857","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2018,42,"4,1","2,357142857","2,785714286","6,914285714","6,6","4,885714286","7,228571429","8,1","9,071428571","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2018,43,"-3,357142857","-4,442857143","-3,085714286","0,8285714286","0,4142857143","0,3142857143","0,4571428571","1,7","2,814285714","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2018,44,-5,"-6,233333333","-5,966666667","-2,733333333","-3,466666667","2,366666667","-1,066666667","0,8333333333","2,5","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,18,"-1,12","-1,08","-1,96","0,8","0,22","11,18","1,56","7,14","4,06","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,19,"5,342857143","5,057142857","4,585714286","7,328571429","7,214285714","11,11428571","6,914285714","9,157142857","8,3","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,20,"8,585714286","7,085714286","6,242857143","9,228571429","9,585714286","10,87142857","11,48571429","16,4","12,84285714","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,21,"7,2","7,171428571","4,871428571","10,25714286","9,5","17,92857143","11,52857143","10,18571429","14,3","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,22,"7,985714286","7,514285714","7,1","9,842857143","10,04285714","14,84285714","10,98571429","16,95714286","12,02857143","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,23,"15,81428571","15,32857143","12,75714286","16,94285714","18,14285714","19,92857143","19,18571429","16,25714286","20,12857143","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,24,"12,17142857","11,68571429","9,528571429","13,81428571","13,85714286","14,35714286","14,11428571","18,12857143","16,62857143","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,25,"14,01428571","13,11428571","10,04285714","15,92857143","16,24285714","15,2","18,38571429",15,"19,61428571","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,26,"11,57142857","11,35714286","10,68571429","13,35714286","12,62857143","12,34285714","14,1","14,3","16,82857143","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,27,"11,21428571","10,85714286","9,9","13,84285714","14,1","15,64285714","14,21428571","14,15714286","14,88571429","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,28,"12,02857143","11,28571429","10,05714286","13,38571429","10,97142857","21,74285714","11,9","15,25714286","14,67142857","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,29,"13,84285714","13,24285714","13,22857143","15,54285714","13,94285714","12,38571429","16,51428571","20,54285714","18,61428571","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,30,"20,9","20,47142857","19,21428571","21,55714286","20,15714286","14,17142857","21,67142857","16,8","22,9","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,31,"9,528571429","8,557142857","7,728571429","11,68571429","10,72857143","15,57142857","11,81428571","14,34285714","14,42857143","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
